syn_id seg_id src_label
0 128 LGN
1 137 LGN
2 63 LGN
3 67 LGN
4 83 LGN
5 78 LGN
6 75 LGN
7 89 LGN
8 19 LGN
9 128 LGN
10 35 LGN
11 137 LGN
12 67 LGN
13 43 LGN
14 16 LGN
15 86 LGN
16 77 LGN
17 89 LGN
18 88 LGN
19 48 LGN
20 59 LGN
21 67 LGN
22 15 LGN
23 4 LGN
24 5 LGN
25 10 LGN
26 67 LGN
27 126 LGN
28 23 LGN
29 59 LGN
30 47 LGN
31 8 LGN
32 25 LGN
33 86 LGN
34 48 LGN
35 86 LGN
36 9 LGN
37 88 LGN
38 72 LGN
39 47 LGN
40 86 LGN
41 88 LGN
42 126 LGN
43 86 LGN
44 111 LGN
45 86 LGN
46 14 LGN
47 4 LGN
48 14 LGN
49 22 LGN
50 28 LGN
51 8 LGN
52 81 LGN
53 63 LGN
54 59 LGN
55 117 LGN
56 40 LGN
57 50 LGN
58 130 LGN
59 74 LGN
60 136 LGN
61 59 LGN
62 87 LGN
63 13 LGN
64 89 LGN
65 12 LGN
66 122 LGN
67 28 LGN
68 41 LGN
69 86 LGN
70 132 LGN
71 121 LGN
72 70 LGN
73 84 LGN
74 128 LGN
75 69 LGN
76 47 LGN
77 83 LGN
78 83 LGN
79 68 LGN
80 9 LGN
81 4 LGN
82 118 LGN
83 48 LGN
84 1 LGN
85 89 LGN
86 111 LGN
87 4 LGN
88 27 LGN
89 111 LGN
90 77 LGN
91 88 LGN
92 109 LGN
93 41 LGN
94 46 LGN
95 77 LGN
96 77 LGN
97 111 LGN
98 71 LGN
99 83 LGN
100 83 LGN
101 128 LGN
102 13 LGN
103 46 LGN
104 29 LGN
105 1 LGN
106 79 LGN
107 109 LGN
108 16 LGN
109 74 LGN
110 37 LGN
111 64 LGN
112 78 LGN
113 80 LGN
114 2 LGN
115 17 LGN
116 114 LGN
117 79 LGN
118 29 LGN
119 138 LGN
120 25 LGN
121 29 LGN
122 25 LGN
123 21 LGN
124 135 LGN
125 48 LGN
126 128 LGN
127 28 LGN
128 69 LGN
129 24 LGN
130 127 LGN
131 128 LGN
132 135 LGN
133 79 LGN
134 74 LGN
135 82 LGN
136 19 LGN
137 15 LGN
138 134 LGN
139 137 LGN
140 69 LGN
141 67 LGN
142 110 LGN
143 4 LGN
144 35 LGN
145 86 LGN
146 77 LGN
147 21 LGN
148 106 LGN
149 9 LGN
150 21 LGN
151 24 LGN
152 26 LGN
153 6 LGN
154 52 LGN
155 50 LGN
156 122 LGN
157 58 LGN
158 71 LGN
159 128 LGN
160 15 LGN
161 48 LGN
162 62 LGN
163 137 LGN
164 72 LGN
165 25 LGN
166 54 LGN
167 56 LGN
168 63 LGN
169 86 LGN
170 118 LGN
171 66 LGN
172 35 LGN
173 71 LGN
174 115 LGN
175 21 LGN
176 121 LGN
177 10 LGN
178 45 LGN
179 116 LGN
180 71 LGN
181 86 LGN
182 29 LGN
183 1 LGN
184 126 LGN
185 31 LGN
186 125 LGN
187 52 LGN
188 10 LGN
189 77 LGN
190 26 LGN
191 69 LGN
192 45 LGN
193 75 LGN
194 49 LGN
195 60 LGN
196 79 LGN
197 136 LGN
198 121 LGN
199 4 LGN
200 45 LGN
201 86 LGN
202 16 LGN
203 24 LGN
204 86 LGN
205 134 LGN
206 78 LGN
207 87 LGN
208 129 LGN
209 22 LGN
210 10 LGN
211 111 LGN
212 60 LGN
213 86 LGN
214 8 LGN
215 30 LGN
216 3 LGN
217 46 LGN
218 10 LGN
219 86 LGN
220 27 LGN
221 67 LGN
222 70 LGN
223 137 LGN
224 86 LGN
225 50 LGN
226 121 LGN
227 64 LGN
228 18 LGN
229 89 LGN
230 69 LGN
231 66 LGN
232 13 LGN
233 117 LGN
234 3 LGN
235 124 LGN
236 9 LGN
237 135 LGN
238 117 LGN
239 72 LGN
240 70 LGN
241 48 LGN
242 60 LGN
243 43 LGN
244 135 LGN
245 10 LGN
246 9 LGN
247 7 LGN
248 31 LGN
249 122 LGN
250 49 LGN
251 131 LGN
252 3 LGN
253 113 LGN
254 4 LGN
255 10 LGN
256 11 LGN
257 137 LGN
258 109 LGN
259 69 LGN
260 26 LGN
261 119 LGN
262 110 LGN
263 27 LGN
264 118 LGN
265 38 LGN
266 10 LGN
267 127 LGN
268 83 LGN
269 2 LGN
270 20 LGN
271 28 LGN
272 33 LGN
273 29 LGN
274 79 LGN
275 129 LGN
276 79 LGN
277 10 LGN
278 11 LGN
279 88 LGN
280 68 LGN
281 70 LGN
282 26 LGN
283 109 LGN
284 136 LGN
285 26 LGN
286 32 LGN
287 62 LGN
288 38 LGN
289 121 LGN
290 35 LGN
291 80 LGN
292 37 LGN
293 70 LGN
294 44 LGN
295 77 LGN
296 137 LGN
297 67 LGN
298 57 LGN
299 37 LGN
300 135 LGN
301 42 LGN
302 77 LGN
303 79 LGN
304 30 LGN
305 62 LGN
306 71 LGN
307 77 LGN
308 110 LGN
309 58 LGN
310 36 LGN
311 79 LGN
312 27 LGN
313 47 LGN
314 13 LGN
315 72 LGN
316 41 LGN
317 23 LGN
318 129 LGN
319 12 LGN
320 46 LGN
321 10 LGN
322 43 LGN
323 73 LGN
324 37 LGN
325 78 LGN
326 55 LGN
327 130 LGN
328 78 LGN
329 85 LGN
330 45 LGN
331 86 LGN
332 73 LGN
333 28 LGN
334 41 LGN
335 60 LGN
336 23 LGN
337 86 LGN
338 125 LGN
339 135 LGN
340 38 LGN
341 110 LGN
342 110 LGN
343 130 LGN
